method,task,dataset,scene,jsr,patch_layer,coreset_ratio,freq_window,nn_topk,nn_agg,coreset_method,rowwise_coreset,memory_mode,freq_zscore,row_proto_zscore,position_soft_axis,position_soft_weight,coherence_alpha,coherence_top_ratio,text_auc,vit_patchcore_max_auc,harmonic_text_vit_patchcore_max_auc,vit_patchcore_top0p01_auc,harmonic_text_vit_patchcore_top0p01_auc,vit_patchcore_top0p05_auc,harmonic_text_vit_patchcore_top0p05_auc,vit_patchcore_top0p1_auc,harmonic_text_vit_patchcore_top0p1_auc
vit_patchcore_gallery_cls,cls,deceptive_signal,Playground_spectrum,weak,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,28.693181818181817,48.86363636363636,48.65056818181818,48.330965909090914,47.94034090909091,49.75142045454545,49.18323863636363,54.86505681818181,53.76420454545454
vit_patchcore_gallery_cls,cls,burst_signal,TimeSquare_spectrum,m10db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,90.62499999999999,100.0,100.0,100.0,100.0,99.65277777777779,99.66724537037037,99.07407407407408,99.11747685185183
vit_patchcore_gallery_cls,cls,burst_signal,TimeSquare_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,87.2022036926742,100.0,100.0,100.0,100.0,99.8659916617034,99.8659916617034,99.3001786777844,99.3001786777844
vit_patchcore_gallery_cls,cls,burst_signal,TimeSquare_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,79.98064324002382,99.94044073853485,99.94044073853485,100.0,100.0,99.0023823704586,99.01727218582491,97.37939249553305,97.49851101846338
vit_patchcore_gallery_cls,cls,chirp_signal,TimeSquare_spectrum,m10db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,89.5457298606905,98.86129618413084,98.87341005451242,98.83706844336766,98.82495457298607,98.26771653543307,98.30405814657783,98.18291944276196,98.17080557238037
vit_patchcore_gallery_cls,cls,chirp_signal,TimeSquare_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,90.93676814988291,98.95784543325526,98.94613583138174,98.86416861826699,98.91100702576112,97.79859484777518,97.92740046838408,97.00234192037472,97.20140515222482
vit_patchcore_gallery_cls,cls,chirp_signal,TimeSquare_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,71.24935666495111,96.77045805455482,96.66752444673186,97.01492537313432,96.8991250643335,95.66392177045806,95.54812146165723,94.59598558929491,94.36438497169326
vit_patchcore_gallery_cls,cls,dsss_signal,TimeSquare_spectrum,m10db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,94.28368121442125,96.59629981024666,96.76233396584439,96.52514231499052,96.75047438330171,96.63187855787476,96.91650853889944,97.33159392789375,97.55692599620494
vit_patchcore_gallery_cls,cls,dsss_signal,TimeSquare_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,91.11717267552181,95.18500948766604,95.32732447817837,96.39468690702087,96.50142314990512,99.01565464895637,99.05123339658445,99.58491461100569,99.60863377609108
vit_patchcore_gallery_cls,cls,dsss_signal,TimeSquare_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,74.38330170777989,91.16461100569259,91.18833017077799,92.68263757115749,92.6589184060721,95.75426944971537,95.80170777988614,96.9639468690702,96.90464895635674
vit_patchcore_gallery_cls,cls,pulse_signal,TimeSquare_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,83.43058968058968,100.0,100.0,100.0,100.0,100.0,100.0,99.96928746928747,99.98464373464373
vit_patchcore_gallery_cls,cls,pulse_signal,TimeSquare_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,68.80032206119162,98.3762748255502,98.30917874396135,98.28234031132584,98.13472893183038,97.70531400966183,97.7187332259796,96.24261943102522,96.30971551261408
vit_patchcore_gallery_cls,cls,pulse_signal,TimeSquare_spectrum,m40db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,60.098379629629626,98.74131944444446,98.74131944444446,98.37962962962963,98.39409722222221,93.07002314814815,93.09895833333333,87.25405092592592,87.36979166666667
vit_patchcore_gallery_cls,cls,deceptive_signal,TimeSquare_spectrum,strong,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,77.00639204545455,89.77272727272727,90.19886363636364,92.04545454545455,92.15198863636363,95.13494318181817,95.17045454545455,96.34232954545455,96.55539772727273
