method,task,dataset,scene,jsr,patch_layer,coreset_ratio,freq_window,nn_topk,nn_agg,coreset_method,rowwise_coreset,memory_mode,freq_zscore,row_proto_zscore,position_soft_axis,position_soft_weight,coherence_alpha,coherence_top_ratio,text_auc,vit_patchcore_max_auc,harmonic_text_vit_patchcore_max_auc,vit_patchcore_top0p01_auc,harmonic_text_vit_patchcore_top0p01_auc,vit_patchcore_top0p05_auc,harmonic_text_vit_patchcore_top0p05_auc,vit_patchcore_top0p1_auc,harmonic_text_vit_patchcore_top0p1_auc
vit_patchcore_gallery_cls,cls,dsss_signal,Playground_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,87.36954459203037,94.69876660341556,94.76992409867172,95.10199240986718,95.19686907020872,96.38282732447819,96.35910815939279,96.80977229601518,96.80977229601518
vit_patchcore_gallery_cls,cls,dsss_signal,Playground_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,76.15037950664136,92.29127134724858,92.37428842504744,93.28747628083491,93.34677419354837,95.37476280834915,95.42220113851992,95.74240986717267,95.78984819734345
vit_patchcore_gallery_cls,cls,pulse_signal,Playground_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,74.40025252525253,99.96212121212122,99.96212121212122,100.0,100.0,99.11616161616162,99.22979797979798,96.76767676767678,97.00757575757576
vit_patchcore_gallery_cls,cls,pulse_signal,Playground_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,66.16030092592592,99.89872685185186,99.89872685185186,100.0,100.0,99.04513888888889,99.04513888888889,96.39756944444444,96.52777777777777
vit_patchcore_gallery_cls,cls,pulse_signal,Playground_spectrum,m40db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,51.060118089103604,89.72088030059044,89.73429951690821,89.98926462694578,90.00268384326355,80.58239398819109,80.48845947396673,74.70477724100913,74.65110037573805
vit_patchcore_gallery_cls,cls,deceptive_signal,Playground_spectrum,strong,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,35.58238636363636,67.4715909090909,67.25852272727273,71.83948863636364,71.66193181818181,81.85369318181819,81.71164772727273,84.55255681818181,84.51704545454545
vit_patchcore_gallery_cls,cls,deceptive_signal,Playground_spectrum,medium,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,31.658380681818176,52.02414772727273,51.5625,56.67613636363635,56.28551136363637,71.09375,70.84517045454545,75.63920454545455,75.42613636363636
vit_patchcore_gallery_cls,cls,deceptive_signal,Playground_spectrum,weak,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,28.693181818181817,39.24005681818182,39.0625,40.87357954545454,40.12784090909091,55.89488636363637,55.25568181818182,61.96732954545454,61.00852272727273
vit_patchcore_gallery_cls,cls,burst_signal,TimeSquare_spectrum,m10db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,90.62499999999999,99.9855324074074,99.9855324074074,99.9855324074074,99.9855324074074,99.53703703703705,99.55150462962963,98.8425925925926,98.91493055555556
vit_patchcore_gallery_cls,cls,burst_signal,TimeSquare_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,87.2022036926742,100.0,100.0,100.0,100.0,99.59797498511018,99.61286480047647,99.22572960095295,99.3001786777844
vit_patchcore_gallery_cls,cls,burst_signal,TimeSquare_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,79.98064324002382,99.73198332340678,99.73198332340678,99.97022036926741,99.95533055390112,98.8832638475283,98.95771292435974,96.79868969624776,96.84335914234663
