method,task,dataset,scene,jsr,textual_only_p_roc,normal_patch_only_p_roc,current_harmonic_p_roc,gate_norm_beta0.25_p_roc,add_norm_beta0.25_p_roc,gate_norm_beta0.5_p_roc,add_norm_beta0.5_p_roc,gate_norm_beta1_p_roc,add_norm_beta1_p_roc,gate_norm_beta2_p_roc,add_norm_beta2_p_roc,gate_norm_beta4_p_roc,add_norm_beta4_p_roc,formal_baseline_p_roc,delta_textual_only_p_roc_vs_formal,delta_normal_patch_only_p_roc_vs_formal,delta_current_harmonic_p_roc_vs_formal,delta_gate_norm_beta0.25_p_roc_vs_formal,delta_add_norm_beta0.25_p_roc_vs_formal,delta_gate_norm_beta0.5_p_roc_vs_formal,delta_add_norm_beta0.5_p_roc_vs_formal,delta_gate_norm_beta1_p_roc_vs_formal,delta_add_norm_beta1_p_roc_vs_formal,delta_gate_norm_beta2_p_roc_vs_formal,delta_add_norm_beta2_p_roc_vs_formal,delta_gate_norm_beta4_p_roc_vs_formal,delta_add_norm_beta4_p_roc_vs_formal
seg_prompt_normal_gallery_fusion,seg,chirp_signal,TimeSquare_spectrum,m30db,96.92736478736732,94.62739961228469,94.59472818853736,96.18861069109597,94.06278893198079,95.01853660188335,92.9785325069567,94.17715137720205,92.09339321577778,93.56201800913053,91.48304878746639,93.15261026225745,91.1169798638585,94.5948,2.3325647873673176,0.032599612284684554,-7.18114626465649e-05,1.5938106910959675,-0.5320110680192158,0.4237366018833484,-1.6162674930433099,-0.4176486227979552,-2.501406784222226,-1.0327819908694806,-3.111751212533619,-1.4421897377425523,-3.477820136141503
seg_prompt_normal_gallery_fusion,seg,chirp_signal,Gymnasium_spectrum,m10db,98.59517158472107,99.32111121932618,99.32696210276784,99.10087876879463,98.9011360054261,99.08747278884469,98.4491567404503,98.96445737968554,97.92217857134627,98.78539261812251,97.46804452693374,98.63909060585934,97.16475725070077,99.327,-0.7318284152789261,-0.0058887806738141535,-3.7897232161299144e-05,-0.22612123120536864,-0.425863994573902,-0.2395272111553055,-0.8778432595496923,-0.36254262031445705,-1.404821428653733,-0.5416073818774834,-1.8589554730662599,-0.6879093941406609,-2.1622427492992244
seg_prompt_normal_gallery_fusion,seg,chirp_signal,Gymnasium_spectrum,m20db,98.48717838671634,98.98783004038498,98.98399527759828,99.15221431856784,98.58211850897656,98.99574744325055,97.79239783856039,98.69657492409918,96.92152149537353,98.3680467242487,96.25058138168811,98.10923450779516,95.82791330494554,98.9841,-0.4969216132836607,0.003730040384979816,-0.00010472240171566227,0.1681143185678451,-0.4019814910234345,0.01164744325055267,-1.1917021614396077,-0.2875250759008168,-2.0625785046264724,-0.6160532757512982,-2.7335186183118907,-0.8748654922048331,-3.1561866950544584
seg_prompt_normal_gallery_fusion,seg,chirp_signal,Gymnasium_spectrum,m30db,83.55043992157619,77.0101802263491,77.3595061730507,83.83052674957332,81.82387362361557,82.89375546915005,80.95487038834631,82.18736531570991,80.30094625299597,81.65918375397652,79.88024329762351,81.30895833188228,79.63289462553593,77.3628,6.187639921576192,-0.35261977365088626,-0.003293826949288814,6.46772674957333,4.461073623615576,5.530955469150058,3.5920703883463148,4.824565315709918,2.9381462529959776,4.296383753976528,2.5174432976235153,3.9461583318822875,2.2700946255359327
seg_prompt_normal_gallery_fusion,seg,dsss_signal,WeaponMuseum_spectrum,m10db,74.5890900254702,64.75153393051497,65.60241857664634,71.44844096657452,63.92040593425391,67.66291271814227,61.049241527983966,64.57200946198117,59.457665267473715,62.67462254158303,58.63270727460418,61.63943509407033,58.21436078317607,65.6026,8.986490025470204,-0.8510660694850287,-0.00018142335365212148,5.845840966574528,-1.6821940657460885,2.0603127181422707,-4.553358472016029,-1.0305905380188278,-6.144934732526281,-2.9279774584169687,-6.969892725395816,-3.9631649059296663,-7.388239216823926
seg_prompt_normal_gallery_fusion,seg,dsss_signal,WeaponMuseum_spectrum,m20db,75.92190740579343,64.08826880264284,64.98605437004711,75.34695624773231,68.51839085164212,71.9549678589674,65.75131383068575,69.14596591583508,64.17486087867779,67.36161970098786,63.34757461450178,66.36637051868622,62.92574401797949,64.9857,10.93620740579344,-0.8974311973571503,0.0003543700471198008,10.361256247732314,3.53269085164213,6.969267858967399,0.7656138306857514,4.160265915835083,-0.8108391213222035,2.3759197009878648,-1.6381253854982134,1.3806705186862303,-2.0599559820205045
seg_prompt_normal_gallery_fusion,seg,dsss_signal,WeaponMuseum_spectrum,m30db,71.96393615435196,77.73154978487659,78.17532284097692,85.29055051718325,83.83335135587696,84.89734857776253,82.85316283055253,84.12088590167188,82.2139029957684,83.52810453603598,81.8524416392847,83.16915570315844,81.66087705661317,78.1759,-6.211963845648043,-0.4443502151234071,-0.0005771590230807533,7.11465051718325,5.657451355876958,6.72144857776253,4.677262830552536,5.944985901671885,4.0380029957683945,5.352204536035984,3.6765416392847072,4.9932557031584395,3.4849770566131753
seg_prompt_normal_gallery_fusion,seg,dsss_signal,Playground_spectrum,m10db,70.12630795312738,68.65159579478677,68.99301404898195,68.96383683556064,63.74587170905701,66.30838197477381,61.76439364610138,64.18533646027885,60.653541397235834,62.88538534761712,60.07170072560816,62.17394939215484,59.77487410166453,68.9937,1.1326079531273763,-0.34210420521323215,-0.0006859510180561301,-0.029863164439362322,-5.247828290942991,-2.685318025226195,-7.229306353898622,-4.808363539721157,-8.34015860276417,-6.108314652382887,-8.921999274391844,-6.819750607845165,-9.218825898335474
seg_prompt_normal_gallery_fusion,seg,dsss_signal,Playground_spectrum,m20db,74.4579401591887,66.68548115509624,67.2502152192016,71.84861982422478,65.0971554690479,68.35620553656474,62.55236533098778,65.66470801832752,61.12792958840985,63.991498470308294,60.38564257747764,63.070659476177646,60.00856194306048,67.2504,7.207540159188696,-0.5649188449037581,-0.0001847807983921257,4.598219824224785,-2.153244530952094,1.1058055365647448,-4.698034669012216,-1.5856919816724826,-6.12247041159015,-3.2589015296917054,-6.864757422522359,-4.179740523822353,-7.241838056939521
seg_prompt_normal_gallery_fusion,seg,dsss_signal,Playground_spectrum,m30db,73.7890524052515,75.30888013425296,75.77124758084751,81.45033196796703,78.13594968856746,80.07404211491827,76.446579659012,78.59146843923388,75.40229628900029,77.55400920472435,74.82859296232769,76.94893599350895,74.52853193835777,75.7713,-1.9822475947485003,-0.4624198657470373,-5.24191524817752e-05,5.679031967967035,2.364649688567468,4.302742114918274,0.6752796590120056,2.820168439233882,-0.3690037109997064,1.7827092047243553,-0.9427070376723066,1.1776359935089573,-1.2427680616422236
seg_prompt_normal_gallery_fusion,seg,dsss_signal,TimeSquare_spectrum,m10db,76.04169652405088,69.8474776040999,70.44886036358461,73.13166484181717,65.75550587694103,69.59320885956407,62.59407326340678,66.51348352339691,60.77348490495047,64.50500252297653,59.815321105511984,63.37347618005629,59.32686850039255,70.4504,5.591296524050875,-0.6029223959001087,-0.0015396364153872355,2.6812648418171676,-4.6948941230589725,-0.8571911404359298,-7.856326736593225,-3.9369164766030877,-9.67691509504953,-5.9453974770234765,-10.635078894488018,-7.076923819943715,-11.123531499607452
seg_prompt_normal_gallery_fusion,seg,dsss_signal,TimeSquare_spectrum,m20db,81.41786201789026,72.77539001212986,73.46720157562248,80.96348238803184,74.89256816618057,78.16908761838948,71.83147301141337,75.47098205167244,69.89289856111282,73.63472021122443,68.81049173514128,72.5558719776389,68.2413513538102,73.4672,7.950662017890252,-0.691809987870144,1.5756224769347682e-06,7.49628238803183,1.4253681661805615,4.7018876183894776,-1.6357269885866401,2.003782051672431,-3.57430143888719,0.16752021122442784,-4.656708264858722,-0.9113280223611042,-5.225848646189803
seg_prompt_normal_gallery_fusion,seg,dsss_signal,TimeSquare_spectrum,m30db,79.37461623176893,86.70612362327842,86.76853783089143,85.6949053042887,85.379135871696,85.85765158050714,84.68108529835709,85.61756602581161,84.03776968243662,85.31256347577718,83.59798285708924,85.0806375660084,83.34058932166367,86.7684,-7.393783768231074,-0.06227637672158437,0.00013783089143259986,-1.0734946957113038,-1.3892641283040064,-0.9107484194928617,-2.08731470164291,-1.1508339741883873,-2.7306303175633815,-1.4558365242228177,-3.1704171429107646,-1.687762433991594,-3.4278106783363285
seg_prompt_normal_gallery_fusion,seg,dsss_signal,Gymnasium_spectrum,m10db,59.947712798379506,67.4198080450156,67.45558035641459,62.07693491039761,61.26425394498624,62.21464648159505,60.22305107885987,61.67826706088171,59.462819956717006,61.104448148376676,59.015217472438344,60.717815927848875,58.77390614096548,67.4565,-7.5087872016205,-0.036691954984405584,-0.0009196435854192941,-5.379565089602394,-6.192246055013769,-5.241853518404959,-7.233448921140138,-5.778232939118297,-7.993680043283,-6.3520518516233295,-8.441282527561661,-6.7386840721511305,-8.682593859034526
seg_prompt_normal_gallery_fusion,seg,dsss_signal,Gymnasium_spectrum,m20db,83.82603400452662,82.19748059025879,82.7207990435242,86.11312677901634,82.78310471311777,84.75291756723196,80.88102478322385,83.25938711755182,79.63711970246214,82.15446493564356,78.9301684733115,81.48444110003801,78.55405813224557,82.721,1.1050340045266154,-0.5235194097412119,-0.00020095647580831155,3.392126779016337,0.06210471311776189,2.0319175672319574,-1.8399752167761534,0.5383871175518209,-3.08388029753786,-0.5665350643564437,-3.790831526688507,-1.2365588999619916,-4.166941867754431
seg_prompt_normal_gallery_fusion,seg,dsss_signal,Gymnasium_spectrum,m30db,56.88024013351944,70.15250880563019,70.0478733180496,70.19183353428363,72.54779308211428,71.98301723262692,72.88481002250377,72.7813756392995,72.959733748265,73.08344607470912,72.96869106630123,73.19928544653274,72.96512897618463,70.0468,-13.166559866480561,0.10570880563018648,0.001073318049591876,0.14503353428362686,2.5009930821142774,1.936217232626916,2.8380100225037665,2.734575639299493,2.91293374826499,3.036646074709111,2.921891066301228,3.1524854465327365,2.9183289761846254
seg_prompt_normal_gallery_fusion,seg,pulse_signal,WeaponMuseum_spectrum,m20db,98.94499985048243,99.52310824843629,99.57158370605512,99.54722894477686,99.58465903749934,99.58026834166633,99.5364575809005,99.5877364755968,99.4347918899825,99.58076292237871,99.3249349533102,99.56997350190872,99.2418555097801,99.5716,-0.6266001495175715,-0.048491751563716434,-1.6293944881340394e-05,-0.02437105522314198,0.013059037499331794,0.008668341666322021,-0.035142419099500444,0.016136475596795208,-0.1368081100174976,0.00916292237870664,-0.24666504668979883,-0.001626498091283679,-0.3297444902199089
seg_prompt_normal_gallery_fusion,seg,pulse_signal,WeaponMuseum_spectrum,m30db,97.32953314054757,95.95808606519547,96.2516197073392,98.98866860210602,98.65083469076778,98.92776413592755,98.23612707941847,98.77199695106185,97.8274358899241,98.60242748722162,97.52507515109454,98.47390255359967,97.33682471801566,96.2516,1.0779331405475716,-0.2935139348045226,1.9707339205865537e-05,2.737068602106021,2.399234690767784,2.67616413592755,1.98452707941847,2.520396951061855,1.5758358899241074,2.350827487221622,1.2734751510945443,2.2223025535996754,1.0852247180156667
seg_prompt_normal_gallery_fusion,seg,pulse_signal,WeaponMuseum_spectrum,m40db,76.09920481634096,74.52673593486256,74.81583916233107,88.38693508524675,88.24383201004673,88.7244519984238,87.75632712259454,88.43664696723437,87.4107190966279,88.14931502480592,87.20871830329864,87.97359474919271,87.09327411391735,74.8164,1.2828048163409562,-0.289664065137444,-0.0005608376689281158,13.570535085246746,13.42743201004673,13.908051998423801,12.93992712259454,13.620246967234365,12.594319096627899,13.332915024805914,12.392318303298637,13.157194749192712,12.276874113917344
