method,task,dataset,scene,jsr,promptad_rescore_auc,normal_dist_top50_auc,fusion_raw_lam0.02_auc,fusion_minmax_lam0.02_auc,fusion_z_lam0.02_auc,fusion_raw_lam0.05_auc,fusion_minmax_lam0.05_auc,fusion_z_lam0.05_auc,fusion_raw_lam0.1_auc,fusion_minmax_lam0.1_auc,fusion_z_lam0.1_auc,fusion_raw_lam0.2_auc,fusion_minmax_lam0.2_auc,fusion_z_lam0.2_auc,fusion_raw_lam0.4_auc,fusion_minmax_lam0.4_auc,fusion_z_lam0.4_auc,formal_baseline_auc,delta_promptad_rescore_auc_vs_formal,delta_normal_dist_top50_auc_vs_formal,delta_fusion_raw_lam0.02_auc_vs_formal,delta_fusion_minmax_lam0.02_auc_vs_formal,delta_fusion_z_lam0.02_auc_vs_formal,delta_fusion_raw_lam0.05_auc_vs_formal,delta_fusion_minmax_lam0.05_auc_vs_formal,delta_fusion_z_lam0.05_auc_vs_formal,delta_fusion_raw_lam0.1_auc_vs_formal,delta_fusion_minmax_lam0.1_auc_vs_formal,delta_fusion_z_lam0.1_auc_vs_formal,delta_fusion_raw_lam0.2_auc_vs_formal,delta_fusion_minmax_lam0.2_auc_vs_formal,delta_fusion_z_lam0.2_auc_vs_formal,delta_fusion_raw_lam0.4_auc_vs_formal,delta_fusion_minmax_lam0.4_auc_vs_formal,delta_fusion_z_lam0.4_auc_vs_formal
promptad_normal_gallery_fusion,cls,burst_signal,Gymnasium_spectrum,m20db,87.44673295454545,97.23011363636364,88.10369318181819,87.67755681818183,87.67755681818183,88.99147727272727,87.92613636363636,88.06818181818183,90.30539772727273,88.7784090909091,88.88494318181819,92.2940340909091,89.48863636363636,89.80823863636364,94.921875,91.015625,91.33522727272727,97.3722,-9.925467045454553,-0.1420863636363663,-9.26850681818182,-9.69464318181818,-9.69464318181818,-8.38072272727274,-9.446063636363647,-9.30401818181818,-7.066802272727273,-8.593790909090913,-8.48725681818182,-5.078165909090913,-7.883563636363647,-7.563961363636366,-2.4503250000000065,-6.3565750000000065,-6.03697272727274
promptad_normal_gallery_fusion,cls,burst_signal,Gymnasium_spectrum,m30db,81.5340909090909,91.83238636363636,81.99573863636364,81.78267045454545,81.78267045454545,82.5284090909091,82.10227272727273,82.10227272727273,83.45170454545455,82.5284090909091,82.49289772727273,84.80113636363636,83.23863636363636,83.27414772727273,86.78977272727273,84.6590909090909,84.6590909090909,86.8253,-5.291209090909092,5.007086363636361,-4.829561363636358,-5.042629545454545,-5.042629545454545,-4.296890909090905,-4.723027272727265,-4.723027272727265,-3.373595454545452,-4.296890909090905,-4.332402272727265,-2.024163636363639,-3.586663636363639,-3.551152272727265,-0.03552727272726486,-2.166209090909092,-2.166209090909092
promptad_normal_gallery_fusion,cls,chirp_signal,WeaponMuseum_spectrum,m10db,93.14365671641792,90.625,93.19029850746267,93.14365671641791,93.14365671641791,93.42350746268657,93.42350746268657,93.42350746268657,93.84328358208955,93.47014925373134,93.47014925373134,93.84328358208955,93.84328358208955,93.79664179104476,94.26305970149252,93.84328358208955,93.84328358208955,96.4086,-3.2649432835820846,-5.783600000000007,-3.2183014925373357,-3.264943283582099,-3.264943283582099,-2.9850925373134345,-2.9850925373134345,-2.9850925373134345,-2.565316417910452,-2.9384507462686713,-2.9384507462686713,-2.565316417910452,-2.565316417910452,-2.6119582089552438,-2.145540298507484,-2.565316417910452,-2.565316417910452
promptad_normal_gallery_fusion,cls,chirp_signal,WeaponMuseum_spectrum,m20db,91.40552995391705,86.03686635944702,91.56682027649771,91.52073732718894,91.52073732718894,91.84331797235025,91.70506912442397,91.70506912442397,92.3963133640553,91.84331797235025,91.84331797235025,92.44239631336406,92.35023041474656,92.35023041474656,92.16589861751152,92.53456221198157,92.48847926267281,94.7926,-3.3870700460829397,-8.755733640552975,-3.225779723502285,-3.2718626728110536,-3.2718626728110536,-2.949282027649744,-3.0875308755760216,-3.0875308755760216,-2.3962866359446906,-2.949282027649744,-2.949282027649744,-2.350203686635936,-2.442369585253431,-2.442369585253431,-2.626701382488477,-2.2580377880184272,-2.3041207373271817
promptad_normal_gallery_fusion,cls,chirp_signal,WeaponMuseum_spectrum,m30db,86.19257086999022,75.80645161290323,86.36363636363637,86.31476050830891,86.31476050830891,86.6080156402737,86.6080156402737,86.51026392961877,86.7546432062561,86.70576735092864,86.70576735092864,86.85239491691104,86.70576735092864,86.7546432062561,86.95014662756599,87.09677419354838,86.95014662756599,88.2698,-2.0772291300097834,-12.463348387096772,-1.9061636363636296,-1.955039491691096,-1.955039491691096,-1.6617843597262976,-1.6617843597262976,-1.7595360703812304,-1.5151567937438983,-1.5640326490713647,-1.5640326490713647,-1.4174050830889655,-1.5640326490713647,-1.5151567937438983,-1.3196533724340185,-1.1730258064516192,-1.3196533724340185
promptad_normal_gallery_fusion,cls,chirp_signal,Playground_spectrum,m10db,97.76383526383526,99.38867438867439,97.97297297297298,97.9086229086229,97.9086229086229,98.1981981981982,98.00514800514802,98.00514800514802,98.58429858429858,98.23037323037323,98.23037323037323,98.90604890604891,98.64864864864865,98.58429858429858,99.16344916344917,98.90604890604891,98.90604890604891,99.9678,-2.2039647361647354,-0.5791256113256082,-1.9948270270270143,-2.0591770913770944,-2.0591770913770944,-1.769601801801798,-1.9626519948519814,-1.9626519948519814,-1.3835014157014172,-1.7374267696267651,-1.7374267696267651,-1.061751093951088,-1.3191513513513513,-1.3835014157014172,-0.8043508365508245,-1.061751093951088,-1.061751093951088
promptad_normal_gallery_fusion,cls,chirp_signal,Playground_spectrum,m20db,93.73456790123456,96.82098765432099,94.1358024691358,93.98148148148148,93.91975308641976,94.81481481481481,94.25925925925925,94.25925925925925,95.70987654320987,95.03086419753086,94.81481481481481,96.26543209876543,95.74074074074073,95.70987654320987,97.00617283950616,96.41975308641975,96.26543209876543,99.8457,-6.111132098765438,-3.0247123456790064,-5.709897530864197,-5.864218518518513,-5.925946913580233,-5.030885185185184,-5.586440740740741,-5.586440740740741,-4.135823456790121,-4.814835802469133,-5.030885185185184,-3.5802679012345635,-4.10495925925926,-4.135823456790121,-2.83952716049383,-3.4259469135802476,-3.5802679012345635
promptad_normal_gallery_fusion,cls,chirp_signal,Playground_spectrum,m30db,84.55812480202724,91.7960088691796,84.98574596135572,84.82736775419701,84.82736775419701,85.80931263858093,85.33417801710485,85.08077288565093,86.9179600886918,86.31612290148875,86.22109597719354,88.31168831168831,87.4881216344631,87.2347165030092,90.21222679759265,89.07190370605005,88.81849857459613,96.9908,-12.432675197972756,-5.194791130820391,-12.005054038644275,-12.16343224580298,-12.16343224580298,-11.181487361419059,-11.656621982895146,-11.910027114349063,-10.072839911308193,-10.67467709851124,-10.769704022806451,-8.679111688311679,-9.502678365536894,-9.756083496990797,-6.778573202407344,-7.918896293949942,-8.172301425403859
promptad_normal_gallery_fusion,cls,chirp_signal,TimeSquare_spectrum,m10db,97.32340829901806,99.0180551156161,97.49762432689262,97.30757047830217,97.30757047830217,97.68767817548306,97.59265125118783,97.59265125118783,97.87773202407348,97.75102945834652,97.75102945834652,98.4478935698448,98.00443458980044,98.00443458980044,98.85967690845739,98.54292049414,98.63794741843522,99.3348,-2.011391700981946,-0.31674488438390824,-1.8371756731073816,-2.0272295216978335,-2.0272295216978335,-1.6471218245169439,-1.7421487488121699,-1.7421487488121699,-1.4570679759265204,-1.5837705416534789,-1.5837705416534789,-0.8869064301552072,-1.330365410199562,-1.330365410199562,-0.47512309154261345,-0.7918795058599954,-0.6968525815647837
promptad_normal_gallery_fusion,cls,chirp_signal,TimeSquare_spectrum,m20db,90.52460949012672,92.33716475095785,90.92248747421161,90.86354258768053,90.83407014441497,91.482463896257,91.33510167992927,91.24668435013261,92.30769230769229,92.01296787503684,91.95402298850574,93.22133804892425,93.10344827586205,92.83819628647214,94.42970822281166,94.04656646035957,93.7518420277041,95.6381,-5.113490509873273,-3.3009352490421406,-4.715612525788387,-4.774557412319467,-4.8040298555850285,-4.155636103742992,-4.302998320070728,-4.391415649867383,-3.330407692307702,-3.6251321249631587,-3.684077011494253,-2.416761951075742,-2.5346517241379445,-2.799903713527854,-1.2083917771883392,-1.591533539640423,-1.886257972295894
promptad_normal_gallery_fusion,cls,chirp_signal,TimeSquare_spectrum,m30db,84.1111111111111,89.20634920634922,84.34920634920636,84.38095238095238,84.34920634920636,85.07936507936508,84.82539682539682,84.95238095238095,86.19047619047619,85.84126984126983,85.93650793650794,88.31746031746033,87.61904761904762,87.74603174603173,90.50793650793652,89.71428571428572,90.0952380952381,94.8889,-10.777788888888907,-5.68255079365079,-10.539693650793652,-10.507947619047627,-10.539693650793652,-9.809534920634931,-10.063503174603184,-9.936519047619058,-8.698423809523817,-9.047630158730172,-8.95239206349207,-6.571439682539676,-7.269852380952386,-7.142868253968274,-4.380963492063486,-5.174614285714284,-4.793661904761905
