dataset,scene,jsr,promptad_auc,normal_auc,raw_lam0_auc,minmax_lam0_auc,z_lam0_auc,raw_lam0.02_auc,minmax_lam0.02_auc,z_lam0.02_auc,raw_lam0.05_auc,minmax_lam0.05_auc,z_lam0.05_auc,raw_lam0.1_auc,minmax_lam0.1_auc,z_lam0.1_auc,raw_lam0.2_auc,minmax_lam0.2_auc,z_lam0.2_auc,raw_lam0.4_auc,minmax_lam0.4_auc,z_lam0.4_auc,raw_lam0.8_auc,minmax_lam0.8_auc,z_lam0.8_auc,raw_lam1_auc,minmax_lam1_auc,z_lam1_auc,raw_lam1.5_auc,minmax_lam1.5_auc,z_lam1.5_auc,raw_lam2_auc,minmax_lam2_auc,z_lam2_auc,raw_lam3_auc,minmax_lam3_auc,z_lam3_auc,raw_lam5_auc,minmax_lam5_auc,z_lam5_auc,raw_lam10_auc,minmax_lam10_auc,z_lam10_auc
chirp_signal,TimeSquare_spectrum,m30db,84.1111111111111,89.20634920634922,84.1111111111111,84.1111111111111,84.1111111111111,84.34920634920636,84.38095238095238,84.34920634920636,85.07936507936508,84.82539682539682,84.95238095238095,86.19047619047619,85.84126984126983,85.93650793650794,88.31746031746033,87.61904761904762,87.74603174603173,90.50793650793652,89.71428571428572,90.0952380952381,92.31746031746032,91.74603174603175,91.93650793650792,92.66666666666667,92.34920634920636,92.53968253968254,92.76190476190477,92.73015873015873,92.82539682539684,92.98412698412699,92.82539682539684,92.95238095238096,92.57142857142857,92.73015873015873,92.53968253968254,91.87301587301587,92.2222222222222,92.03174603174602,90.95238095238095,91.17460317460318,91.14285714285714
chirp_signal,WeaponMuseum_spectrum,m10db,93.14365671641792,90.625,93.14365671641792,93.14365671641792,93.14365671641792,93.19029850746267,93.14365671641791,93.14365671641791,93.42350746268657,93.42350746268657,93.42350746268657,93.84328358208955,93.47014925373134,93.47014925373134,93.84328358208955,93.84328358208955,93.79664179104476,94.26305970149252,93.84328358208955,93.84328358208955,93.56343283582089,94.35634328358209,94.35634328358209,93.23694029850746,94.12313432835822,94.12313432835822,92.67723880597015,93.70335820895522,93.70335820895522,92.21082089552239,93.37686567164178,93.37686567164178,91.83768656716418,92.81716417910447,92.9570895522388,91.51119402985076,92.11753731343283,92.11753731343283,91.09141791044777,91.51119402985076,91.51119402985076
chirp_signal,WeaponMuseum_spectrum,m20db,91.40552995391705,86.03686635944702,91.40552995391705,91.40552995391705,91.40552995391705,91.56682027649771,91.52073732718894,91.52073732718894,91.84331797235025,91.70506912442397,91.70506912442397,92.3963133640553,91.84331797235025,91.84331797235025,92.44239631336406,92.35023041474656,92.35023041474656,92.16589861751152,92.53456221198157,92.48847926267281,91.56682027649768,92.16589861751152,92.16589861751152,91.05990783410137,92.07373271889401,92.07373271889401,90.09216589861751,91.42857142857143,91.42857142857143,89.44700460829493,91.01382488479263,91.01382488479263,88.57142857142857,90.09216589861751,90.09216589861751,87.46543778801845,88.8479262672811,88.89400921658986,86.7741935483871,87.46543778801845,87.46543778801845
chirp_signal,WeaponMuseum_spectrum,m30db,86.19257086999022,75.80645161290323,86.19257086999022,86.19257086999022,86.19257086999022,86.36363636363637,86.31476050830891,86.31476050830891,86.6080156402737,86.6080156402737,86.51026392961877,86.7546432062561,86.70576735092864,86.70576735092864,86.85239491691104,86.70576735092864,86.7546432062561,86.95014662756599,87.09677419354838,86.95014662756599,85.386119257087,86.90127077223852,86.26588465298141,84.70185728250243,86.31476050830888,85.92375366568915,83.87096774193549,85.23949169110459,84.65298142717496,82.99120234604106,84.35972629521015,83.87096774193549,81.8670576735093,83.38220918866081,82.84457478005865,79.71652003910069,82.16031280547409,81.0850439882698,78.1524926686217,79.37438905180841,78.83675464320626
dsss_signal,Gymnasium_spectrum,m10db,48.27072152653548,99.58258795468097,48.27072152653548,48.27072152653548,48.27072152653548,53.398926654740606,50.3875968992248,49.8211091234347,60.58437686344663,53.36911150864639,52.17650566487776,70.00596302921885,58.52713178294575,56.112104949314244,81.0077519379845,66.90518783542039,62.5819916517591,91.74120453190221,77.54919499105546,72.86821705426357,98.38998211091234,88.49135360763267,83.98926654740609,98.71794871794872,91.65175909361956,87.32856290995826,99.07573047107931,96.6010733452594,93.17233154442457,99.28443649373881,98.38998211091234,96.45199761478831,99.40369707811568,98.98628503279666,98.59868813357186,99.55277280858675,99.28443649373881,99.07573047107931,99.55277280858675,99.52295766249254,99.40369707811568
dsss_signal,Gymnasium_spectrum,m20db,52.80262373285629,99.94036970781157,52.80262373285629,52.80262373285629,52.80262373285629,55.21765056648778,53.60763267740012,53.48837209302325,58.79546809779368,55.307096004770415,55.0685748360167,64.72868217054264,57.60286225402504,57.12581991651759,74.65712581991652,62.55217650566488,61.59809183064997,86.55336911150864,70.96004770423376,69.79725700655932,95.82587954680977,82.73703041144901,81.06738223017294,97.58497316636851,86.6428145497913,85.00298151460943,98.95646988670245,92.33750745378653,90.84675014907575,99.37388193202146,95.91532498509243,94.84197972570065,99.70184853905783,98.53905784138342,98.15146094215862,99.85092426952892,99.37388193202146,99.28443649373882,99.91055456171735,99.79129397734049,99.76147883124627
dsss_signal,Gymnasium_spectrum,m30db,47.33154442456768,93.53011329755516,47.33154442456768,47.33154442456768,47.33154442456768,49.344066785927254,48.33035181872391,48.3005366726297,52.86225402504472,49.76147883124627,49.55277280858676,58.0799045915325,52.68336314847944,52.41502683363149,65.65295169946333,57.84138342277878,57.15563506261181,74.92546213476446,65.20572450805008,64.43053070960048,83.92963625521766,74.56768038163388,73.52415026833631,86.6428145497913,77.2510435301133,76.3267740011926,90.10137149672033,82.97555158020275,82.17054263565892,91.71138938580799,86.37447823494335,85.56946929039952,92.63565891472868,89.95229576624925,89.6541443053071,93.29159212880143,92.06917113893857,91.86046511627907,93.55992844364937,93.26177698270722,93.231961836613
dsss_signal,Playground_spectrum,m10db,77.623732856291,99.97018485390579,77.623732856291,77.623732856291,77.623732856291,80.97793679189029,78.59272510435301,78.26475849731665,84.9731663685152,79.60644007155636,79.21884317233156,90.13118664281454,81.36553369111509,80.79904591532498,95.64698867024448,84.82409063804413,83.33333333333334,98.74776386404294,89.83303518187239,87.53726893261778,99.79129397734049,95.40846750149076,93.50029815146095,99.94036970781157,96.9886702444842,95.19976147883125,99.97018485390579,98.53905784138342,97.64460345855694,99.97018485390579,99.2248062015504,98.59868813357186,100.0,99.73166368515206,99.34406678592725,100.0,99.97018485390579,99.91055456171735,100.0,100.0,99.97018485390579
dsss_signal,Playground_spectrum,m20db,66.68157423971377,100.0,66.68157423971377,66.68157423971377,66.68157423971377,69.3500298151461,67.65056648777579,67.65056648777579,73.4645199761479,68.63446630888492,68.72391174716756,79.63625521765056,70.78115682766847,71.10912343470484,89.53488372093022,75.28324388789505,75.81991651759094,97.34645199761478,82.67740011926058,83.48240906380443,99.58258795468097,92.36732259988074,93.14251639833036,99.70184853905783,95.11031604054861,95.88550983899822,99.88073941562314,98.3005366726297,98.59868813357186,99.94036970781156,99.2248062015504,99.34406678592725,99.97018485390579,99.67203339296363,99.70184853905783,100.0,99.88073941562314,99.91055456171736,100.0,100.0,100.0
dsss_signal,Playground_spectrum,m30db,63.46153846153846,99.04591532498509,63.46153846153846,63.46153846153846,63.46153846153846,64.93738819320215,64.07274895646988,64.43053070960048,67.44186046511628,64.81812760882526,65.29516994633275,70.90041741204533,66.04054859868815,67.44186046511628,78.20512820512822,69.02206320810973,70.93023255813954,88.70005963029219,74.23971377459749,78.32438878950508,96.2432915921288,83.69111508646392,88.81932021466905,97.34645199761479,87.53726893261778,92.39713774597496,98.41979725700656,93.73881932021467,95.97495527728086,98.896839594514,95.8855098389982,97.34645199761479,99.28443649373882,97.58497316636851,98.44961240310077,99.40369707811568,98.77757901013715,99.16517590936196,99.34406678592725,99.37388193202146,99.40369707811568
dsss_signal,TimeSquare_spectrum,m10db,52.17650566487776,99.82110912343471,52.17650566487776,52.17650566487776,52.17650566487776,55.008944543828264,53.60763267740012,53.1902206320811,59.809183064997015,56.290995825879556,54.97912939773405,66.78592725104352,60.22659511031604,58.02027429934407,77.78771615980918,67.62075134168157,63.98330351818724,93.20214669051879,78.92069171138938,73.43470483005366,98.77757901013715,94.21586165772212,88.1335718545021,99.2546213476446,96.21347644603459,92.96362552176505,99.70184853905783,98.6881335718545,97.13774597495528,99.82110912343471,99.40369707811568,98.65831842576029,99.91055456171735,99.70184853905783,99.55277280858677,99.88073941562313,99.88073941562313,99.82110912343471,99.85092426952892,99.85092426952892,99.88073941562313
dsss_signal,TimeSquare_spectrum,m20db,69.00715563506262,99.31425163983303,69.00715563506262,69.00715563506262,69.00715563506262,70.90041741204531,70.24448419797257,69.97614788312461,73.1365533691115,71.76505664877759,71.4370900417412,77.4597495527728,74.00119260584376,73.19618366129993,84.4066785927251,78.98032200357783,77.75790101371497,93.29159212880143,86.49373881932021,84.85390578413833,98.56887298747763,95.05068574836018,93.82826475849733,99.19499105545617,96.77996422182468,95.79606440071558,99.52295766249254,98.95646988670245,98.5092426952892,99.52295766249254,99.34406678592725,99.2248062015504,99.55277280858677,99.58258795468097,99.58258795468097,99.6124031007752,99.55277280858677,99.55277280858677,99.43351222420989,99.55277280858675,99.58258795468097
dsss_signal,TimeSquare_spectrum,m30db,78.04114490161001,97.46571258199165,78.04114490161001,78.04114490161001,78.04114490161001,79.30828861061418,78.80143112701252,78.77161598091831,81.21645796064401,79.96422182468694,79.93440667859272,84.37686344663088,81.90220632081096,81.78294573643412,88.93858079904591,85.3309481216458,85.27131782945737,94.99105545617174,90.63804412641622,90.42933810375672,98.41979725700656,96.45199761478833,96.33273703041144,98.77757901013715,97.52534287418008,97.49552772808588,98.89683959451402,98.71794871794873,98.62850327966608,98.8670244484198,98.95646988670245,98.95646988670245,98.68813357185451,98.95646988670245,98.89683959451402,98.38998211091234,98.6583184257603,98.68813357185451,98.00238521168754,98.21109123434705,98.24090638044127
dsss_signal,WeaponMuseum_spectrum,m10db,69.33212176283507,97.04679691049523,69.33212176283507,69.33212176283507,69.33212176283507,71.46751476601544,70.42253521126761,70.42253521126761,74.69332121762835,71.33121308496138,71.240345297592,78.41890049977283,72.73966378918672,72.4670604270786,84.55247614720581,76.32894139027715,75.87460245343026,89.27760109041346,80.37255792821445,79.73648341662881,93.68468877782826,86.36983189459337,85.8246251703771,94.82053611994547,87.8237164925034,87.36937755565653,95.59291231258518,90.59518400726942,90.00454338936846,96.09268514311677,92.68514311676512,92.23080417991822,96.3652885052249,94.77510222626078,94.50249886415266,96.63789186733302,95.82008178100864,95.59291231258518,96.7287596547024,96.50159018627896,96.3652885052249
dsss_signal,WeaponMuseum_spectrum,m20db,59.35938209904589,92.00363471149477,59.35938209904589,59.35938209904589,59.35938209904589,60.83598364379827,59.9727396637892,60.06360745115856,63.471149477510224,60.83598364379827,60.92685143116765,67.28759654702408,62.51703771013175,63.10767832803271,72.10358927760109,65.65197637437528,66.65152203543843,79.19127669241254,70.33166742389824,71.05860972285325,85.73375738300773,77.37392094502499,78.64606996819627,87.50567923671059,79.3730122671513,81.05406633348478,89.23216719672877,83.8255338482508,84.68877782825987,90.27714675147661,85.77919127669242,87.23307587460245,91.09495683780099,88.36892321671968,88.95956383462062,91.68559745570195,90.27714675147661,90.50431621990003,92.00363471149477,91.36756019990912,91.64016356201728
dsss_signal,WeaponMuseum_spectrum,m30db,53.021353930031815,66.56065424806906,53.021353930031815,53.021353930031815,53.021353930031815,53.566560654248065,53.29395729213993,53.24852339845525,54.47523852794185,54.06633348477965,53.70286233530213,55.474784189005,55.0658791458428,54.47523852794185,57.428441617446616,56.519763743752826,56.019990913221264,61.5174920490686,59.65470240799636,58.20081781008633,64.7887323943662,64.06179009541117,62.38073602907769,65.42480690595184,64.60699681962744,63.834620626987736,66.83325761017718,66.24261699227624,64.97046796910494,67.37846433439346,66.92412539754658,66.33348477964563,66.92412539754656,67.37846433439346,67.1967287596547,67.10586097228534,66.83325761017718,66.92412539754658,67.33303044070877,67.33303044070877,67.1967287596547
