method,task,dataset,scene,jsr,textual_only_p_roc,clip_gallery_only_p_roc,gate_clip_beta0.25_p_roc,resnet18_layer2_gallery_only_p_roc,gate_resnet18_layer2_beta0.25_p_roc,gate_resnet18_layer2_beta0.5_p_roc,gate_resnet18_layer2_beta1_p_roc,gate_resnet18_layer2_beta2_p_roc,resnet18_layer3_gallery_only_p_roc,gate_resnet18_layer3_beta0.25_p_roc,gate_resnet18_layer3_beta0.5_p_roc,gate_resnet18_layer3_beta1_p_roc,gate_resnet18_layer3_beta2_p_roc,formal_baseline_p_roc,delta_textual_only_p_roc_vs_formal,delta_clip_gallery_only_p_roc_vs_formal,delta_gate_clip_beta0.25_p_roc_vs_formal,delta_resnet18_layer2_gallery_only_p_roc_vs_formal,delta_gate_resnet18_layer2_beta0.25_p_roc_vs_formal,delta_gate_resnet18_layer2_beta0.5_p_roc_vs_formal,delta_gate_resnet18_layer2_beta1_p_roc_vs_formal,delta_gate_resnet18_layer2_beta2_p_roc_vs_formal,delta_resnet18_layer3_gallery_only_p_roc_vs_formal,delta_gate_resnet18_layer3_beta0.25_p_roc_vs_formal,delta_gate_resnet18_layer3_beta0.5_p_roc_vs_formal,delta_gate_resnet18_layer3_beta1_p_roc_vs_formal,delta_gate_resnet18_layer3_beta2_p_roc_vs_formal
seg_resnet_gallery_fusion,seg,burst_signal,Gymnasium_spectrum,m20db,97.61284822028,98.83931495393182,98.43000245987598,98.4291952203851,98.60218465243173,98.46297083922147,97.71946203589246,96.59187256765973,98.60788132465169,98.84481377721677,98.83539587619116,98.69822551681031,98.49691541196752,98.8619,-1.2490517797200056,-0.022585046068186898,-0.4318975401240266,-0.43270477961490883,-0.2597153475682745,-0.39892916077853613,-1.1424379641075433,-2.270027432340271,-0.2540186753483198,-0.01708622278323446,-0.02650412380884859,-0.1636744831896948,-0.3649845880324847
seg_resnet_gallery_fusion,seg,burst_signal,Gymnasium_spectrum,m30db,95.29198933772861,95.9747972131487,97.88664455868077,97.3327529641142,98.10430944729637,98.02152226951372,97.09001881955092,95.73550799610626,98.45110794819317,98.38252559630926,98.3843941767476,98.13621077417982,97.7974033127568,96.6111,-1.3191106622713846,-0.6363027868512887,1.275544558680778,0.7216529641142131,1.4932094472963797,1.410422269513731,0.47891881955092686,-0.875592003893729,1.8400079481931755,1.771425596309271,1.773294176747612,1.5251107741798222,1.186303312756806
seg_resnet_gallery_fusion,seg,chirp_signal,WeaponMuseum_spectrum,m10db,98.87654127973485,98.59392519307406,98.91518758013717,98.17054547686833,98.92996287533452,98.71098906212076,98.39329697992851,98.11576002365368,97.41818181894006,98.76967578576665,98.42450762047318,97.86412734028112,97.28233639869642,98.5835,0.29304127973485095,0.010425193074055983,0.3316875801371708,-0.412954523131674,0.3464628753345238,0.12748906212075894,-0.19020302007149326,-0.4677399763463228,-1.165318181059945,0.1861757857666504,-0.158992379526822,-0.7193726597188856,-1.3011636013035854
seg_resnet_gallery_fusion,seg,chirp_signal,WeaponMuseum_spectrum,m20db,98.13636659370155,96.89335126701823,98.07888683697989,96.82561027183576,98.20158632461028,97.76574017509084,97.23977362804874,96.76688461082529,96.26097369484177,98.06823966351409,97.44514832531867,96.56066496654775,95.72827461672898,96.8307,1.3056665937015595,0.06265126701823931,1.2481868369798974,-0.005089728164236362,1.3708863246102823,0.9350401750908475,0.4090736280487448,-0.06381538917470664,-0.5697263051582269,1.2375396635140987,0.6144483253186763,-0.27003503345224544,-1.1024253832710116
seg_resnet_gallery_fusion,seg,chirp_signal,WeaponMuseum_spectrum,m30db,90.30519065036736,87.89558451698673,89.802123334452,89.29375741786853,92.22495718717668,90.89837255474109,89.28944781829347,88.06615685561603,86.18974928644754,90.93805737907257,89.35069007496558,87.48212327909555,86.0749867501173,87.8664,2.438790650367366,0.029184516986731524,1.9357233344520068,1.427357417868535,4.358557187176686,3.0319725547410883,1.423047818293469,0.1997568556160303,-1.676650713552462,3.071657379072576,1.4842900749655854,-0.3842767209044524,-1.7914132498826945
seg_resnet_gallery_fusion,seg,chirp_signal,Playground_spectrum,m10db,98.7835057581609,99.09680240604968,99.12447174606581,98.64000301940843,99.01728966443851,98.7801124072798,98.38819471353008,98.00785605123447,97.64279596605462,98.94133785351681,98.59352645060437,97.98147707473439,97.3530744005501,99.0649,-0.2813942418390951,0.03190240604968153,0.05957174606581361,-0.4248969805915692,-0.04761033556148675,-0.2847875927201926,-0.676705286469911,-1.057043948765525,-1.4221040339453737,-0.12356214648318087,-0.47137354939562215,-1.0834229252656087,-1.7118255994498952
seg_resnet_gallery_fusion,seg,chirp_signal,Playground_spectrum,m20db,97.98416322278966,97.89071168608076,98.1648515889211,95.39482293212431,97.69103571780641,96.86646691688178,95.860826801222,95.00727675047742,95.59048637427739,97.86054118097003,97.06004483510813,95.93191162683608,94.88315220410222,97.8561,0.1280632227896632,0.03461168608076548,0.30875158892109766,-2.4612770678756846,-0.16506428219358327,-0.9896330831182212,-1.9952731987779941,-2.8488232495225816,-2.265613625722608,0.0044411809700335425,-0.7960551648918681,-1.924188373163915,-2.972947795897781
seg_resnet_gallery_fusion,seg,chirp_signal,Playground_spectrum,m30db,95.31208970595438,94.89907310226721,94.61861343184572,93.17979090975145,94.70139301753207,93.52224211112981,92.42289072954509,91.65004690517551,93.46480160404926,95.36004072158346,94.37943711418998,93.31495808520262,92.47782391178161,94.8356,0.47648970595437845,0.06347310226720992,-0.21698656815428308,-1.6558090902485532,-0.13420698246792995,-1.3133578888701862,-2.4127092704549113,-3.185553094824485,-1.370798395950743,0.5244407215834599,-0.4561628858100164,-1.5206419147973804,-2.3577760882183867
seg_resnet_gallery_fusion,seg,chirp_signal,TimeSquare_spectrum,m10db,98.49301497185523,98.86435403005332,98.80550990013145,98.29297653423747,98.8194686093724,98.60745550185483,98.36593999693321,98.17444847637448,97.63489406656976,98.76949153445089,98.44734883742889,97.94340348254573,97.41374918905431,98.8655,-0.3724850281447658,-0.001145969946676928,-0.05999009986854276,-0.5725234657625293,-0.046031390627604196,-0.2580444981451677,-0.49956000306679016,-0.6910515236255179,-1.2306059334302404,-0.09600846554910447,-0.41815116257110674,-0.9220965174542641,-1.4517508109456827
seg_resnet_gallery_fusion,seg,chirp_signal,TimeSquare_spectrum,m20db,98.00472889761782,96.797296957949,97.48092107093436,97.4208077212851,98.32663020409883,97.91899025202225,97.41011115748232,96.96841802817629,96.19857960987588,97.85597035388787,97.10295662364922,96.12514206897424,95.20553405906391,96.7502,1.254528897617817,0.0470969579489946,0.7307210709343508,0.6706077212850943,1.576430204098827,1.168790252022248,0.6599111574823127,0.2182180281762811,-0.5516203901241283,1.1057703538878627,0.35275662364921345,-0.6250579310257649,-1.544665940936099
